#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Talaromyces marneffei ATCC 18224","Eukaryota;Fungi;Ascomycetes","ATCC 18224","SAMN02953685","PRJNA19555","GCA_000001985.1","Scaffold",28.6439,46.7,,"ABAR01",452,10638,"2007-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/985/GCA_000001985.1_JCVI-PMFA1-2.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/985/GCF_000001985.1_JCVI-PMFA1-2.0"
"Branchiostoma floridae","Eukaryota;Animals;Other Animals","S238N-H82","SAMN02953694","PRJNA20249","GCA_000003815.1","Scaffold",521.895,41.8,,"ABEP02",398,28623,"2008-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.1_Version_2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.1_Version_2"
"Clavispora lusitaniae ATCC 42720","Eukaryota;Fungi;Ascomycetes","ATCC 42720","SAMN02953613","PRJNA12753","GCA_000003835.1","Scaffold",12.1149,44.5,,"AAFT01",9,5936,"2005-03-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/835/GCA_000003835.1_ASM383v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/835/GCF_000003835.1_ASM383v1"
"Notamacropus eugenii","Eukaryota;Animals;Mammals","","","PRJNA12587","GCA_000004035.1","Scaffold",3075.18,40.4,,"ABQO01",277711,0,"2008-11-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/035/GCA_000004035.1_Meug_1.1",
"Nasonia longicornis","Eukaryota;Animals;Insects","IV7(U)","SAMN00003080","PRJNA20225","GCA_000004795.1","Scaffold",285.726,44.1,,"ADAP01",5214,0,"2009-11-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/795/GCA_000004795.1_Nlon_1.0",
"Nasonia giraulti","Eukaryota;Animals;Insects","RV2x(U)","SAMN00003081","PRJNA20223","GCA_000004775.1","Scaffold",283.607,44.3,,"ADAO01",4912,0,"2009-11-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/775/GCA_000004775.1_Ngir_1.0",
"Drosophila virilis","Eukaryota;Animals;Insects","TSC#15010-1051.87","SAMN02953641","PRJNA12688","GCA_000005245.1","Scaffold",206.027,40.7,,"AANI01",13530,20548,"2006-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/245/GCA_000005245.1_dvir_caf1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/245/GCF_000005245.1_dvir_caf1"
"Drosophila willistoni","Eukaryota;Animals;Insects","TSC#14030-0811.24","SAMN02953653","PRJNA12664","GCA_000005925.1","Scaffold",235.516,37.8,,"AAQB01",14838,18834,"2006-04-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/925/GCA_000005925.1_dwil_caf1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/925/GCF_000005925.1_dwil_caf1"
"Callithrix jacchus","Eukaryota;Animals;Mammals","","SAMN02981242","PRJNA20401","GCA_000004665.1"," Chromosome",2914.96,41.3414,"chromosome 1:NC_013896.1/CM000856.1; chromosome 2:NC_013897.1/CM000857.1; chromosome 3:NC_013898.1/CM000858.1; chromosome 4:NC_013899.1/CM000859.1; chromosome 5:NC_013900.1/CM000860.1; chromosome 6:NC_013901.1/CM000861.1; chromosome 7:NC_013902.1/CM000862.1; chromosome 8:NC_013903.1/CM000863.1; chromosome 9:NC_013904.1/CM000864.1; chromosome 10:NC_013905.1/CM000865.1; chromosome 11:NC_013906.1/CM000866.1; chromosome 12:NC_013907.1/CM000867.1; chromosome 13:NC_013908.1/CM000868.1; chromosome 14:NC_013909.1/CM000869.1; chromosome 15:NC_013910.1/CM000870.1; chromosome 16:NC_013911.1/CM000871.1; chromosome 17:NC_013912.1/CM000872.1; chromosome 18:NC_013913.1/CM000873.1; chromosome 19:NC_013914.1/CM000874.1; chromosome 20:NC_013915.1/CM000875.1; chromosome 21:NC_013916.1/CM000876.1; chromosome 22:NC_013917.1/CM000877.1; chromosome X:NC_013918.1/CM000878.1; chromosome Y:NC_013919.1/CM000879.1","ACFV01",16399,45251,"2010-01-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/665/GCA_000004665.1_Callithrix_jacchus-3.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/665/GCF_000004665.1_Callithrix_jacchus-3.2"
"Perkinsus marinus ATCC 50983","Eukaryota;Protists;Other Protists","ATCC 50983","SAMN02953677","PRJNA12737","GCA_000006405.1","Scaffold",86.6051,47.4,,"AAXJ01",17897,23654,"2007-02-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/405/GCA_000006405.1_JCVI_PMG_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/405/GCF_000006405.1_JCVI_PMG_1.0"
